Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Relative Humidity  [2 m above gnd],Mean Sea Level Pressure  [MSL],Total Precipitation  [sfc],Snowfall amount raw  [sfc],Total Cloud Cover  [sfc],High Cloud Cover  [high cld lay],Medium Cloud Cover  [mid cld lay],Low Cloud Cover  [low cld lay],Sunshine Duration  [sfc],Shortwave Radiation  [sfc],Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd],Wind Speed  [80 m above gnd],Wind Direction  [80 m above gnd],Wind Speed  [900 mb],Wind Direction  [900 mb],Wind Gust  [sfc]
2018,1,17,22,0,23.8,85,1038.3,0,0,0,0,0,0,0,0,7.57,55.84,15.63,70.79,6.71,53.13,14.76
2018,1,17,23,0,23.66,84,1037.9,0,0,0,0,0,0,0,0,7.45,57.26,15.43,73.14,5.3,62.35,9.4
2018,1,18,0,0,23.62,82,1037.5,0,0,0,0,0,0,0,0,7.33,58.74,15.03,75.34,4.18,74.48,10.07
2018,1,18,1,0,23.57,81,1036.9,0,0,0,0,0,0,0,0,7.52,59.62,14.76,75.96,2.91,90,7.38
2018,1,18,2,0,23.32,81,1036.5,0,0,1,0,0,1,0,0,7.64,58.17,14.76,75.96,2.06,102.53,6.93
2018,1,18,3,0,22.94,81,1036,0,0,3,0,0,3,0,0,7.76,56.77,14.81,75.12,1.58,135,9.17
2018,1,18,4,0,22.67,82,1035.5,0,0,0,0,0,0,0,0,8.14,52.82,15.07,71.83,1.14,168.69,14.54
2018,1,18,5,0,22.49,81,1035.1,0,0,3,0,0,3,0,0,8.46,52.52,15.5,69.73,1.14,191.31,7.16
2018,1,18,6,0,26.3,53,1035.5,0,0,25,0,0,25,0,0,6.83,58.39,10.52,66.16,3.54,235.3,11.86
2018,1,18,7,0,25.93,54,1035.7,0,0,44,0,0,44,21.28,0,6.76,55.78,10.11,65.14,3.7,244.98,11.86
2018,1,18,8,0,27.8,49,1035.7,0,0,100,0,0,100,0,38.27,7.76,56.77,9.61,62.24,3.96,253.61,12.08
2018,1,18,9,0,30.59,43,1035.8,0,0,100,0,0,100,0,157.53,8.71,60.8,9.41,64.65,3.86,259.99,10.07
2018,1,18,10,0,33.14,38,1035.8,0,0,100,0,0,100,0,200.25,8.3,62.74,8.81,66.04,3.91,256.76,7.61
2018,1,18,11,0,35.12,37,1035.3,0,0,100,0,0,100,0,214.49,7.73,67.89,8.28,71.08,3.61,248.2,7.16
2018,1,18,12,0,37.84,33,1034.5,0,0,100,0,0,100,0,291.03,7.01,73.3,7.38,75.96,4.11,240.64,6.71
2018,1,18,13,0,39.71,33,1033.6,0,0,100,0,0,100,0,295.48,6.33,81.87,6.28,85.91,4.65,234.78,5.37
2018,1,18,14,0,41.73,31,1032.2,0,0,100,0,0,100,0,356.89,5.59,90,5.82,90,5.28,233.62,4.92
2018,1,18,15,0,43.8,32,1031.4,0,0,100,0,0,100,0,407.62,5.16,94.97,4.97,97.77,6.09,233.97,4.47
2018,1,18,16,0,44.09,32,1030.3,0,0,15,0,0,15,50.43,396.94,4.75,98.13,4.52,98.53,6.33,237.99,4.25
2018,1,18,17,0,43.22,35,1030,0,0,52,10,33,52,26.81,234.07,4.52,98.53,4.56,101.31,6.71,240.02,4.25
2018,1,18,18,0,40.2,41,1030.1,0,0,20,0,20,16,0,49.84,3.91,103.24,5.81,105.64,6.83,238.39,6.49
2018,1,18,19,0,38.24,46,1030.4,0,0,35,0,0,35,0,0,3.75,107.35,6.73,111.45,7.26,236.31,7.38
2018,1,18,20,0,37.54,49,1030.6,0,0,18,0,0,18,0,0,3.7,115.02,7.61,118.07,8.19,235.01,8.28
2018,1,18,21,0,37.73,54,1030.5,0,0,100,0,0,100,0,0,3.54,124.7,8.19,124.99,9.37,236.69,8.72
2018,1,18,22,0,38.22,58,1030.1,0,0,100,0,4,100,0,0,3.48,135,9.03,131.99,10.71,241.29,6.26
2018,1,18,23,0,38.69,62,1029.6,0,0,100,0,52,100,0,0,3.18,140.71,8.86,137.05,11.89,250.2,6.04
2018,1,19,0,0,39.23,65,1029.2,0,0,100,0,56,100,0,0,2.86,141.34,8.77,142.25,13.1,262.15,6.49
