id,original_tweet,original_tweet_id,original_user,quoted_text
953001468394655745,Klein ISD is closely monitoring the weather forecast. Stay tuned to our social media posts or websites for updates. https://t.co/g3joxUamkI,952962194710331393,KleinISD,Our area might get it's 3rd round of winter weather this season. Stay on top of it! #houwx https://t.co/tJ366l4cEI
953698431549235200,Whoa! This is the Southwest Freeway at Chimney Rock. Look at all the people driving BACKWARDS to avoid the backup f… https://t.co/vzP7zC54Oc,953672898186752000,TravisABC13,"“Please stay off the roads, icy conditions persist” means... stay off the roads. 🤦🏼‍♂️

#houwx #txwx https://t.co/fTINGPFYAz"
953625999413010432,"Dios mio, que frío! https://t.co/6ykys31Jo9",953358996139921408,FireChiefofHFD,#AyDiosFrio18 #houwx #txwx #WinterWeather https://t.co/QQ2y1eYgSL
953619550859350016,Yep. It's that cold. https://t.co/OSiTUC8ymC,953469001904132096,JohnDawsonFox26,Guys... #houwx https://t.co/TQOEBPieQD
953613755388256256,We have to continue staying off the roads this morning.  Dangerous conditions throughout Houston. Most freeways are… https://t.co/rm1QNT1xWA,953584550810177537,HoustonOEM,Clear skies and sunshine may give false impressions this morning. No improvement yet to current road conditions fro… https://t.co/kanaUE570B
953600597726461958,Harris Co @SheriffEd_HCSO : 582 crash reports in last 24 hours. There has been 1 fatal accident in Houston area due to ice. #KHOU11,953598798294593536,KHOUStephanie,This is why you’re being asked to stay home. I guarantee most of those 582 drivers thought they could make it too.… https://t.co/mrMj0RRlWm
953471598920642561,This map from @houstontranstar shows the extent of the traffic problems we have across town. It's not worth traveli… https://t.co/HCcLfxBNmR,953462830707150848,HoustonOEM,"Y’all. Chances are it can wait. Get off of the roads. 
#houwx #txwx https://t.co/L201iL9hmF"
953449794395090944,Please don’t go driving around tonight. You really don’t want to end up on the news that way. #abc13 #houwx #icewitnessnews 😑😑,953440456192520192,miyashay,Wise advice from @miyashay. I appreciate all the reporters and journalists for covering #houstonweather. Praying fo… https://t.co/Q66VOTWfg1
953444473396187136,Temps my drop into the low 20s tonight. Wind chill could make it feel like the 10s. Remember the 4 P’s as you… https://t.co/Ob22OugfKP,953386177503137792,ReadyHarris,"If you can, stay in doors tonight. With temperatures below freezing, water on roads could freeze and make for hazar… https://t.co/A55dOdgi11"
953444357163618304,Warming center at 2801 Condi needs food donations.  Call Erica Davis (pictured here) 832-286-3876 or tweet… https://t.co/xEDCHyMZyv,953436689342529537,TomAbrahams13,#houwx Has Us Opening Warming Centers and This One Needs #Help https://t.co/58L4KEGEaH
