original_tweet,original_tweet_id,original_user,rt_id
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,954222899832999938
"Houston right now 
#houwx #snowday #HoustonWeather https://t.co/gWKFevxxAP",953109382249754625,ShesLikeTexas15,954214161680076800
Thoroughly iced over 288 overpass at 59 near Downtown. Seriously people. Don’t drive here! #abc13 #houwx https://t.co/cBJ0aBvWRG,953348754958159872,ABC13Miya,954171895225638912
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,954147861909917696
Good afternoon! Here's the #Houston hour-by-hour evening forecast. #houwx #TXwx https://t.co/WMKGH69EQe,954111667113209857,HellerWeather,954137479547883521
Good afternoon! Here's the #Houston hour-by-hour evening forecast. #houwx #TXwx https://t.co/WMKGH69EQe,954111667113209857,HellerWeather,954120655074709504
⚠️❄️ Hard Freeze Warning in Effect for Houston from 9pm Tonight to 9am Thursday. #houwx #txwx #houstonice… https://t.co/jA7XxgLQcG,953718410004885504,AlertHouston,954082858490105856
UPDATE: List of Wednesday closings due to winter weather https://t.co/6ZuUAI9c5D #houwx #houstonweather… https://t.co/VjlfLFk80Q,953391748486778883,HPMNews887,954064172479864833
"Houston right now 
#houwx #snowday #HoustonWeather https://t.co/gWKFevxxAP",953109382249754625,ShesLikeTexas15,954061350862577666
"When it's colder in Houston than Anchorage, Alaska... #fox26wx #houwx https://t.co/lyT18v4yg1",953472504290406401,Fox26Houston,954037589195059200
"Holy sunrise, Houston. #houwx https://t.co/grisPRWQib",953979068038467585,mattlanza,954031804960460801
"Holy sunrise, Houston. #houwx https://t.co/grisPRWQib",953979068038467585,mattlanza,954030661974753282
"Holy sunrise, Houston. #houwx https://t.co/grisPRWQib",953979068038467585,mattlanza,954028634964221953
"When it's colder in Houston than Anchorage, Alaska... #fox26wx #houwx https://t.co/lyT18v4yg1",953472504290406401,Fox26Houston,954025875045003264
"When it's colder in Houston than Anchorage, Alaska... #fox26wx #houwx https://t.co/lyT18v4yg1",953472504290406401,Fox26Houston,954025614012534786
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,954013283618615296
Getting colder! Currently it's 30F and Clear. #houwx,953845222542381056,mikemcguff,954007801621225472
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,954006791528026113
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,954006685357658118
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,954002156218212353
Please continue to stay off the roads people! Many are still covered in ice.  #houwx #houstonweather #hounews https://t.co/1bWr4LIMn5,953670313245540352,houstonpolice,953998963648188416
lovely #houstonweather #houwx https://t.co/ZOVYSRcENS,953280879220183040,LFlinn08,953998918056062976
"Holy sunrise, Houston. #houwx https://t.co/grisPRWQib",953979068038467585,mattlanza,953995273243635712
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953994686842142721
"Holy sunrise, Houston. #houwx https://t.co/grisPRWQib",953979068038467585,mattlanza,953994158439530498
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953994024003784704
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953993783955292160
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953993338000158725
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953992206649569286
"#houtraffic - #houwx 
 TXDOT reporting icy conditions on N IH 45 @ the Belt - both North bound and South bound lanes  - use caution",953970374508777472,HCSOTexas,953983096793288704
Icy conditions southbound Southwest freeway at Spur 527.  Use caution in the area.  #houtraffic #houwx,953973837405786112,HCSOTexas,953983060055330816
